epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.92262,4.79703,6.97258,4.60106,0,0,0,0,4.98363,4.54324,4.16304,0.00014544,0.00014544,0.00014544
2,13.3638,4.5557,6.34784,4.20967,0,0,0,0,4.99425,4.56169,4.18183,0.00029799,0.00029799,0.00029799
3,19.589,4.09448,5.53458,3.85746,0,0,0,0,5.03003,4.60724,4.23354,0.000448501,0.000448501,0.000448501
4,25.665,3.77963,4.63564,3.45191,1e-05,0.00045,1e-05,0,5.02884,4.64739,4.23043,0.000596971,0.000596971,0.000596971
5,31.8116,3.51173,3.91915,3.10594,1e-05,0.00045,1e-05,0,5.2269,4.74865,4.52013,0.000743402,0.000743402,0.000743402
6,40.9568,3.12115,3.48554,2.88019,0.00043,0.00451,0.00084,0.00014,4.79574,4.64209,4.26921,0.000879003,0.000879003,0.000879003
7,47.4799,3.00561,3.13748,2.66018,0.01232,0.15036,0.04364,0.01725,3.31953,3.67715,3.18893,0.000873004,0.000873004,0.000873004
8,53.6605,2.78789,2.92911,2.60078,0.50441,0.14246,0.11314,0.05244,2.70893,2.58368,2.61332,0.000867004,0.000867004,0.000867004
9,59.8631,2.61501,2.77157,2.48951,0.49272,0.20693,0.15122,0.06918,2.51557,2.35169,2.44107,0.000861005,0.000861005,0.000861005
10,66.5502,2.48996,2.38207,2.28541,0.5406,0.23223,0.19689,0.09946,2.37276,2.16332,2.35388,0.000855005,0.000855005,0.000855005
11,73.5986,2.3623,2.28329,2.21077,0.42317,0.25472,0.21856,0.10938,2.29777,2.19805,2.22899,0.000849006,0.000849006,0.000849006
12,81.1431,2.25075,2.13265,2.07153,0.46601,0.2901,0.25336,0.12365,2.20508,2.18726,2.12887,0.000843007,0.000843007,0.000843007
13,87.9046,2.22904,2.16619,2.05202,0.5145,0.33157,0.29826,0.15012,2.20277,1.93634,2.05068,0.000837007,0.000837007,0.000837007
14,94.7527,2.0675,1.92913,1.9802,0.5276,0.34977,0.33172,0.18142,1.95801,1.81625,1.92104,0.000831008,0.000831008,0.000831008
15,100.869,2.00292,1.85085,1.89502,0.57021,0.35376,0.32659,0.16945,2.03462,1.83972,1.921,0.000825008,0.000825008,0.000825008
16,106.864,1.85113,1.73169,1.80593,0.59499,0.36813,0.34456,0.19542,1.85763,1.6531,1.78673,0.000819009,0.000819009,0.000819009
17,112.979,1.81208,1.6388,1.67786,0.46283,0.36001,0.27847,0.16428,1.788,2.28537,1.80334,0.00081301,0.00081301,0.00081301
18,118.912,1.80191,1.65509,1.70824,0.66576,0.42303,0.43608,0.26508,1.65358,1.42133,1.69588,0.00080701,0.00080701,0.00080701
19,124.93,1.82167,1.6648,1.76376,0.61914,0.41009,0.41265,0.24465,1.71547,1.50699,1.7204,0.000801011,0.000801011,0.000801011
20,130.907,1.76071,1.54623,1.62357,0.68219,0.36843,0.42874,0.25104,1.69752,1.47547,1.66029,0.000795011,0.000795011,0.000795011
21,136.819,1.72195,1.55018,1.61267,0.70866,0.40821,0.44423,0.26576,1.63037,1.38984,1.5969,0.000789012,0.000789012,0.000789012
22,142.848,1.68702,1.4779,1.55865,0.7171,0.43363,0.46126,0.27514,1.63936,1.32402,1.62511,0.000783013,0.000783013,0.000783013
23,148.851,1.69859,1.51187,1.5397,0.68083,0.43655,0.45952,0.28909,1.58835,1.65574,1.56493,0.000777013,0.000777013,0.000777013
24,154.874,1.59809,1.3835,1.47683,0.74761,0.4192,0.48135,0.31346,1.49776,1.28406,1.51895,0.000771014,0.000771014,0.000771014
25,160.843,1.53692,1.32899,1.45911,0.77582,0.45248,0.51396,0.3272,1.48878,1.21744,1.50399,0.000765014,0.000765014,0.000765014
26,166.855,1.56477,1.35708,1.47919,0.80503,0.45764,0.5059,0.31099,1.49984,1.20479,1.48847,0.000759015,0.000759015,0.000759015
27,172.872,1.56991,1.34857,1.45771,0.74502,0.44036,0.4888,0.29881,1.57362,1.27874,1.50012,0.000753016,0.000753016,0.000753016
28,178.812,1.51002,1.33152,1.43146,0.75004,0.44667,0.49698,0.3024,1.53653,1.21491,1.4844,0.000747016,0.000747016,0.000747016
29,184.762,1.50836,1.31947,1.4566,0.75043,0.45709,0.51658,0.32914,1.44679,1.28441,1.44445,0.000741017,0.000741017,0.000741017
30,190.755,1.51941,1.29497,1.44687,0.78722,0.44279,0.52089,0.33277,1.44867,1.15653,1.43638,0.000735017,0.000735017,0.000735017
31,196.778,1.49087,1.23683,1.41234,0.7149,0.49072,0.54223,0.35297,1.41963,1.16758,1.41434,0.000729018,0.000729018,0.000729018
32,202.805,1.46054,1.20694,1.39502,0.79026,0.48256,0.54049,0.3586,1.37548,1.08823,1.38729,0.000723019,0.000723019,0.000723019
33,208.776,1.45522,1.1734,1.38595,0.84265,0.4844,0.55689,0.37687,1.34338,1.0613,1.35158,0.000717019,0.000717019,0.000717019
