epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.67152,4.7787,6.81316,4.53673,0,0,0,0,4.98531,4.54034,4.16591,0.00014544,0.00014544,0.00014544
2,7.44508,4.52301,6.47083,4.23564,0,0,0,0,4.99707,4.5422,4.18369,0.000299822,0.000299822,0.000299822
3,10.1254,4.20437,6.00268,3.93041,2e-05,0.00045,1e-05,0,5.03247,4.55405,4.23302,0.00045405,0.00045405,0.00045405
4,12.682,3.96566,5.46767,3.61407,2e-05,0.00045,1e-05,0,5.034,4.56738,4.23274,0.000608126,0.000608126,0.000608126
5,15.2857,3.77042,5.05903,3.29702,2e-05,0.00045,1e-05,0,5.00602,4.58966,4.21069,0.000762048,0.000762048,0.000762048
6,17.8073,3.53031,4.77053,3.09669,3e-05,0.00089,0.00073,0.00015,4.76147,4.52245,3.97321,0.00090675,0.00090675,0.00090675
7,20.3297,3.38339,4.30076,2.85074,0.7539,0.00623,0.00663,0.00291,3.8523,3.77961,3.28328,0.0009063,0.0009063,0.0009063
8,22.9365,3.11994,3.97782,2.75335,0.21485,0.06974,0.03396,0.01379,3.06373,3.08768,2.87987,0.00090585,0.00090585,0.00090585
9,25.5012,2.9697,3.87124,2.62509,0.26361,0.11792,0.06,0.02431,2.91734,2.8311,2.68996,0.0009054,0.0009054,0.0009054
10,28.0556,2.77776,3.35543,2.4095,0.43825,0.11779,0.07685,0.02917,2.749,2.66905,2.5138,0.00090495,0.00090495,0.00090495
11,30.5743,2.65337,3.27312,2.33747,0.42249,0.12671,0.08189,0.03294,2.63386,2.59249,2.40997,0.0009045,0.0009045,0.0009045
12,33.1088,2.5885,3.08858,2.19638,0.50959,0.15289,0.12473,0.0561,2.52968,2.37596,2.25021,0.00090405,0.00090405,0.00090405
13,35.6951,2.58635,3.11318,2.16965,0.37546,0.18049,0.14491,0.06449,2.4524,2.31706,2.2391,0.000903601,0.000903601,0.000903601
14,38.2177,2.43241,2.81356,2.13367,0.52244,0.18494,0.15075,0.07325,2.39769,2.37547,2.25542,0.000903151,0.000903151,0.000903151
15,40.7139,2.31128,2.63129,2.05676,0.37812,0.22424,0.17956,0.09517,2.2776,2.31889,2.0721,0.000902701,0.000902701,0.000902701
16,43.2901,2.27988,2.55191,1.99048,0.37297,0.25796,0.19026,0.10263,2.11133,2.47506,1.94669,0.000902251,0.000902251,0.000902251
17,45.8723,2.14498,2.37834,1.85566,0.55116,0.2306,0.20247,0.10671,2.14428,2.10021,1.95249,0.000901801,0.000901801,0.000901801
18,48.5335,2.18823,2.41553,1.90422,0.44102,0.23621,0.22511,0.11894,2.06248,1.98417,1.92574,0.000901351,0.000901351,0.000901351
19,51.0093,2.17633,2.42627,1.93028,0.44797,0.25153,0.23176,0.11802,2.091,2.03705,1.92016,0.000900901,0.000900901,0.000900901
20,53.5877,2.03459,2.19195,1.77405,0.45667,0.26364,0.25974,0.14139,1.94061,2.07654,1.77363,0.000900451,0.000900451,0.000900451
21,56.1079,2.02277,2.24884,1.77676,0.4704,0.32945,0.28412,0.16007,1.91692,2.04012,1.74372,0.000900001,0.000900001,0.000900001
22,58.6702,1.96459,2.17049,1.70201,0.54657,0.30558,0.29748,0.17311,1.87638,1.86631,1.69519,0.000899551,0.000899551,0.000899551
23,61.3115,2.00841,2.17027,1.71862,0.55122,0.31843,0.31429,0.183,1.8397,1.7988,1.71981,0.000899101,0.000899101,0.000899101
24,63.8994,1.8614,1.99962,1.61209,0.52664,0.35509,0.32264,0.19377,1.72904,1.66516,1.63398,0.000898651,0.000898651,0.000898651
25,66.5025,1.84795,1.99467,1.61497,0.53847,0.32646,0.32643,0.19356,1.81443,1.70564,1.64782,0.000898201,0.000898201,0.000898201
26,69.0027,1.81418,2.00223,1.63818,0.54583,0.37276,0.33037,0.17784,1.82463,1.69859,1.65859,0.000897751,0.000897751,0.000897751
27,71.533,1.81832,1.96093,1.61911,0.54453,0.35436,0.32132,0.18925,1.78278,1.66711,1.62376,0.000897301,0.000897301,0.000897301
28,74.0712,1.82195,1.92571,1.58285,0.51391,0.3748,0.34413,0.19949,1.75723,1.65868,1.60444,0.000896851,0.000896851,0.000896851
29,76.5791,1.76737,1.9236,1.59289,0.5485,0.3919,0.36159,0.21577,1.67975,1.68504,1.55541,0.000896401,0.000896401,0.000896401
30,79.1194,1.79931,1.9002,1.61942,0.57353,0.36212,0.3537,0.20367,1.75167,1.71847,1.60895,0.000895951,0.000895951,0.000895951
31,81.6806,1.75997,1.8321,1.56206,0.60716,0.36897,0.37468,0.23031,1.65202,1.51983,1.53242,0.000895501,0.000895501,0.000895501
32,84.2226,1.7202,1.80746,1.54031,0.57978,0.39501,0.37848,0.23569,1.63663,1.53501,1.51931,0.000895051,0.000895051,0.000895051
33,86.7671,1.73149,1.73623,1.54128,0.65242,0.38884,0.39253,0.23707,1.65847,1.48937,1.52232,0.000894601,0.000894601,0.000894601
34,89.3829,1.71103,1.7566,1.51712,0.63154,0.37701,0.3997,0.24701,1.62655,1.55078,1.51304,0.000894151,0.000894151,0.000894151
35,91.8867,1.67063,1.68027,1.46472,0.65029,0.39033,0.40754,0.26306,1.54199,1.48042,1.44006,0.000893702,0.000893702,0.000893702
36,94.416,1.69594,1.73434,1.46612,0.63577,0.39626,0.40161,0.24388,1.62894,1.47116,1.48005,0.000893252,0.000893252,0.000893252
37,96.9418,1.65849,1.71556,1.4694,0.60389,0.41081,0.40636,0.25145,1.58881,1.43458,1.46195,0.000892802,0.000892802,0.000892802
38,99.5062,1.59096,1.53854,1.43852,0.63848,0.42485,0.42714,0.2762,1.4951,1.36771,1.42059,0.000892352,0.000892352,0.000892352
39,102.047,1.57001,1.58789,1.40467,0.69728,0.40233,0.43955,0.28212,1.51905,1.38122,1.41904,0.000891902,0.000891902,0.000891902
40,104.605,1.58465,1.57929,1.43239,0.73539,0.36394,0.43183,0.27491,1.5121,1.3831,1.41839,0.000891452,0.000891452,0.000891452
41,107.14,1.62364,1.638,1.45851,0.68445,0.42424,0.43755,0.27735,1.51223,1.37548,1.39866,0.000891002,0.000891002,0.000891002
42,109.641,1.58185,1.55463,1.38589,0.75832,0.39772,0.45148,0.29511,1.47993,1.32258,1.39778,0.000890552,0.000890552,0.000890552
43,112.148,1.55553,1.4965,1.36671,0.68059,0.43856,0.45615,0.28015,1.53737,1.37068,1.41116,0.000890102,0.000890102,0.000890102
44,114.701,1.55998,1.50483,1.3897,0.71751,0.43672,0.46678,0.3036,1.45859,1.33895,1.36202,0.000889652,0.000889652,0.000889652
45,117.206,1.60739,1.52773,1.4284,0.69336,0.42308,0.45487,0.28217,1.5109,1.39592,1.3806,0.000889202,0.000889202,0.000889202
46,119.741,1.58372,1.50354,1.37659,0.73614,0.44579,0.4684,0.3044,1.44365,1.27733,1.35092,0.000888752,0.000888752,0.000888752
47,122.234,1.5667,1.47319,1.38928,0.70583,0.43461,0.47266,0.2989,1.48084,1.28192,1.35283,0.000888302,0.000888302,0.000888302
48,124.817,1.49466,1.43584,1.366,0.73491,0.43735,0.47994,0.30941,1.43924,1.23986,1.35379,0.000887852,0.000887852,0.000887852
49,127.398,1.60649,1.48746,1.39804,0.72188,0.45994,0.49267,0.31246,1.43478,1.27089,1.34965,0.000887402,0.000887402,0.000887402
50,129.986,1.54698,1.42238,1.37205,0.76641,0.44135,0.49194,0.31844,1.40731,1.22936,1.32481,0.000886952,0.000886952,0.000886952
51,132.528,1.49519,1.40765,1.34602,0.73492,0.45191,0.49318,0.32643,1.38526,1.22918,1.30007,0.000886502,0.000886502,0.000886502
52,135.058,1.48944,1.4094,1.33115,0.79922,0.44844,0.5113,0.33382,1.42054,1.22099,1.33781,0.000886052,0.000886052,0.000886052
53,137.615,1.56032,1.40706,1.37266,0.77924,0.41279,0.49521,0.32914,1.37486,1.34822,1.31303,0.000885602,0.000885602,0.000885602
54,140.11,1.48824,1.38784,1.35432,0.66925,0.46997,0.50043,0.32018,1.42234,1.21902,1.32962,0.000885152,0.000885152,0.000885152
55,142.626,1.55928,1.3997,1.34653,0.68404,0.48823,0.5137,0.33453,1.40296,1.15247,1.3164,0.000884702,0.000884702,0.000884702
56,145.181,1.53449,1.43661,1.35911,0.70734,0.46555,0.5038,0.3282,1.42591,1.21538,1.32554,0.000884252,0.000884252,0.000884252
57,147.752,1.51419,1.34456,1.32055,0.71708,0.46341,0.51613,0.33457,1.43046,1.20252,1.32573,0.000883803,0.000883803,0.000883803
58,150.232,1.47601,1.36523,1.34502,0.7444,0.4636,0.51798,0.33727,1.38921,1.16387,1.29632,0.000883353,0.000883353,0.000883353
59,152.827,1.48501,1.37446,1.32269,0.71679,0.44681,0.49261,0.31613,1.40849,1.21221,1.31706,0.000882903,0.000882903,0.000882903
60,155.408,1.52931,1.43487,1.37503,0.7292,0.46542,0.50843,0.33322,1.38542,1.18026,1.29642,0.000882453,0.000882453,0.000882453
61,157.959,1.40603,1.265,1.29239,0.65921,0.50741,0.51591,0.34465,1.37943,1.18032,1.27662,0.000882003,0.000882003,0.000882003
62,160.479,1.4389,1.29037,1.28611,0.72747,0.50855,0.53439,0.35503,1.34595,1.13723,1.26631,0.000881553,0.000881553,0.000881553
63,163.021,1.45511,1.29986,1.28181,0.7772,0.48847,0.54603,0.36404,1.32115,1.08445,1.2569,0.000881103,0.000881103,0.000881103
64,165.569,1.39265,1.29709,1.27831,0.78735,0.48442,0.53652,0.35345,1.34508,1.19137,1.25158,0.000880653,0.000880653,0.000880653
65,168.064,1.42005,1.26031,1.26719,0.67264,0.51463,0.5453,0.36118,1.34929,1.14339,1.26497,0.000880203,0.000880203,0.000880203
66,170.658,1.39094,1.2429,1.28058,0.72512,0.49222,0.55143,0.36308,1.37304,1.10948,1.2757,0.000879753,0.000879753,0.000879753
67,173.187,1.39591,1.20372,1.22764,0.7309,0.516,0.5642,0.36793,1.35957,1.1023,1.25284,0.000879303,0.000879303,0.000879303
68,175.762,1.41709,1.27717,1.28663,0.68362,0.51056,0.53001,0.36168,1.32301,1.14663,1.2467,0.000878853,0.000878853,0.000878853
69,178.248,1.45057,1.30289,1.2919,0.77376,0.48823,0.55076,0.37117,1.31407,1.12192,1.24339,0.000878403,0.000878403,0.000878403
70,180.796,1.37759,1.25216,1.27907,0.75505,0.4878,0.54701,0.37102,1.28317,1.10249,1.24169,0.000877953,0.000877953,0.000877953
71,183.318,1.44895,1.27679,1.30589,0.7387,0.51348,0.5656,0.37759,1.28247,1.05536,1.22279,0.000877503,0.000877503,0.000877503
72,185.88,1.4482,1.27225,1.27946,0.74001,0.52272,0.56237,0.36401,1.36125,1.08373,1.24439,0.000877053,0.000877053,0.000877053
73,188.403,1.4335,1.24229,1.24104,0.77584,0.50824,0.56608,0.37347,1.31812,1.11523,1.23288,0.000876603,0.000876603,0.000876603
74,190.983,1.42511,1.23383,1.31096,0.76029,0.51403,0.56291,0.36842,1.32182,1.0798,1.23794,0.000876153,0.000876153,0.000876153
75,193.495,1.36415,1.20276,1.27034,0.72835,0.50923,0.55575,0.37214,1.30163,1.0878,1.22945,0.000875703,0.000875703,0.000875703
76,196.037,1.41631,1.2386,1.27271,0.75457,0.5277,0.57322,0.38047,1.28988,1.06358,1.23,0.000875253,0.000875253,0.000875253
77,198.589,1.35871,1.17544,1.26532,0.79165,0.52001,0.57569,0.38453,1.25803,1.02383,1.21126,0.000874803,0.000874803,0.000874803
78,201.137,1.36132,1.23199,1.26284,0.8307,0.50635,0.57692,0.38384,1.26966,1.0247,1.20523,0.000874353,0.000874353,0.000874353
79,203.633,1.40648,1.19962,1.26223,0.79892,0.48951,0.57363,0.38099,1.33877,1.09066,1.23085,0.000873904,0.000873904,0.000873904
80,206.167,1.37593,1.19322,1.27012,0.72384,0.53418,0.58728,0.40627,1.24965,1.0366,1.19419,0.000873454,0.000873454,0.000873454
81,208.695,1.34288,1.1509,1.21997,0.75885,0.55044,0.59123,0.39895,1.25001,0.97088,1.18661,0.000873004,0.000873004,0.000873004
82,211.233,1.31864,1.13563,1.22151,0.78044,0.5304,0.58399,0.38972,1.23407,1.07328,1.17487,0.000872554,0.000872554,0.000872554
83,213.751,1.31928,1.13037,1.24029,0.78624,0.52995,0.58954,0.40336,1.2337,1.01124,1.17114,0.000872104,0.000872104,0.000872104
84,216.372,1.36599,1.14662,1.23653,0.76443,0.52375,0.5848,0.39166,1.23886,1.05556,1.17771,0.000871654,0.000871654,0.000871654
85,218.878,1.36751,1.16694,1.24604,0.75996,0.52559,0.58885,0.39931,1.23674,0.989,1.18553,0.000871204,0.000871204,0.000871204
86,221.392,1.33692,1.13579,1.22585,0.70219,0.54755,0.58519,0.39742,1.24138,0.95716,1.18323,0.000870754,0.000870754,0.000870754
87,223.905,1.32387,1.09816,1.20196,0.8146,0.52727,0.59233,0.41029,1.20525,0.97039,1.16366,0.000870304,0.000870304,0.000870304
88,226.461,1.38046,1.16234,1.25021,0.79236,0.50848,0.58541,0.37984,1.29557,1.02103,1.20551,0.000869854,0.000869854,0.000869854
89,228.999,1.30459,1.08397,1.1899,0.7993,0.51739,0.60466,0.41444,1.17633,0.92745,1.15727,0.000869404,0.000869404,0.000869404
90,231.491,1.36807,1.13083,1.23827,0.81348,0.53449,0.60592,0.3986,1.24976,0.98622,1.19735,0.000868954,0.000868954,0.000868954
91,233.998,1.32915,1.11924,1.21347,0.82684,0.52747,0.60821,0.40782,1.22182,0.95871,1.17287,0.000868504,0.000868504,0.000868504
92,236.543,1.29203,1.06163,1.21571,0.73543,0.52289,0.59422,0.40249,1.20689,0.96447,1.15836,0.000868054,0.000868054,0.000868054
93,239.053,1.35286,1.13915,1.21148,0.79875,0.56299,0.61869,0.41713,1.22856,0.94089,1.17251,0.000867604,0.000867604,0.000867604
94,241.527,1.33353,1.07659,1.18034,0.80244,0.53929,0.61027,0.41847,1.19442,0.92328,1.14802,0.000867154,0.000867154,0.000867154
95,244.104,1.32248,1.07411,1.18093,0.82457,0.55681,0.61325,0.41753,1.23779,0.93482,1.17825,0.000866704,0.000866704,0.000866704
96,246.682,1.31775,1.04445,1.18992,0.78998,0.53607,0.59892,0.41775,1.20265,0.93195,1.15311,0.000866254,0.000866254,0.000866254
97,249.162,1.25712,1.03916,1.20353,0.75634,0.549,0.60619,0.4171,1.1859,0.93474,1.14666,0.000865804,0.000865804,0.000865804
98,251.684,1.28568,1.0909,1.23741,0.81069,0.54799,0.61693,0.42461,1.19435,0.9001,1.16128,0.000865354,0.000865354,0.000865354
99,254.267,1.25613,1.03253,1.15193,0.77681,0.54539,0.61498,0.41746,1.18022,0.91638,1.15224,0.000864904,0.000864904,0.000864904
100,257.035,1.29538,1.07845,1.1809,0.80532,0.53444,0.60333,0.4187,1.19437,0.89949,1.15298,0.000864454,0.000864454,0.000864454
101,259.577,1.29231,1.07921,1.1641,0.81524,0.5518,0.61754,0.41681,1.18536,0.8933,1.15575,0.000864004,0.000864004,0.000864004
102,262.197,1.29621,1.049,1.17029,0.76455,0.55961,0.61288,0.42277,1.18398,0.90548,1.15184,0.000863555,0.000863555,0.000863555
103,264.782,1.2768,1.04553,1.14884,0.81933,0.55744,0.61947,0.4291,1.16807,0.87992,1.13392,0.000863105,0.000863105,0.000863105
104,267.339,1.31635,1.06557,1.17386,0.80042,0.56528,0.62709,0.43245,1.16702,0.87856,1.13243,0.000862655,0.000862655,0.000862655
105,269.879,1.27172,0.98369,1.15177,0.84784,0.55207,0.62577,0.42973,1.17195,0.8876,1.13114,0.000862205,0.000862205,0.000862205
106,272.396,1.30032,1.05926,1.17781,0.84205,0.54004,0.61806,0.43171,1.13074,0.88035,1.12089,0.000861755,0.000861755,0.000861755
107,274.901,1.21761,0.9721,1.16143,0.87269,0.55025,0.63483,0.44116,1.14613,0.87101,1.13022,0.000861305,0.000861305,0.000861305
108,277.423,1.26689,1.01012,1.173,0.83727,0.55223,0.63251,0.43262,1.1613,0.88294,1.13258,0.000860855,0.000860855,0.000860855
109,279.921,1.20405,0.96904,1.13072,0.75741,0.58291,0.63945,0.44307,1.12487,0.86189,1.119,0.000860405,0.000860405,0.000860405
110,282.51,1.26242,1.04256,1.16019,0.80701,0.56728,0.62829,0.43188,1.17304,0.94385,1.12479,0.000859955,0.000859955,0.000859955
111,285.045,1.20281,0.97312,1.13807,0.79587,0.57165,0.63696,0.44297,1.1258,0.8739,1.10568,0.000859505,0.000859505,0.000859505
112,287.592,1.24701,0.97589,1.14575,0.79201,0.55983,0.62504,0.42988,1.12897,0.89822,1.10728,0.000859055,0.000859055,0.000859055
113,290.176,1.21826,0.96901,1.1457,0.81221,0.57577,0.639,0.44473,1.11084,0.85328,1.10146,0.000858605,0.000858605,0.000858605
114,292.68,1.21478,0.99099,1.12848,0.80828,0.5725,0.6384,0.44316,1.13287,0.85058,1.11479,0.000858155,0.000858155,0.000858155
115,295.207,1.27703,1.00261,1.15949,0.85766,0.56227,0.6426,0.45526,1.07926,0.82039,1.09187,0.000857705,0.000857705,0.000857705
116,297.857,1.22729,0.98921,1.15037,0.76576,0.58215,0.6215,0.41937,1.14348,0.93379,1.12141,0.000857255,0.000857255,0.000857255
117,300.39,1.20926,0.96721,1.17161,0.81692,0.5598,0.62636,0.43073,1.13561,0.94255,1.11899,0.000856805,0.000856805,0.000856805
118,302.925,1.22123,0.98045,1.12018,0.83521,0.58704,0.65038,0.44968,1.13199,0.84607,1.12107,0.000856355,0.000856355,0.000856355
119,305.437,1.2119,0.9607,1.1469,0.83631,0.58885,0.64989,0.45301,1.09569,0.81091,1.10057,0.000855905,0.000855905,0.000855905
120,307.999,1.22053,0.95421,1.15727,0.85286,0.58997,0.65518,0.45603,1.08948,0.87344,1.0902,0.000855455,0.000855455,0.000855455
121,310.496,1.25488,1.00163,1.16364,0.87214,0.56593,0.64343,0.44932,1.10612,0.84153,1.10472,0.000855005,0.000855005,0.000855005
122,312.993,1.25226,0.97592,1.15156,0.88811,0.57098,0.65931,0.46302,1.08297,0.81213,1.0983,0.000854555,0.000854555,0.000854555
123,315.477,1.19992,0.95773,1.11508,0.87544,0.58702,0.66317,0.45671,1.07826,0.8331,1.08969,0.000854105,0.000854105,0.000854105
124,318.046,1.15052,0.94847,1.11145,0.83832,0.57945,0.66359,0.45559,1.10148,0.83495,1.09048,0.000853656,0.000853656,0.000853656
125,320.547,1.20173,0.97202,1.12409,0.83663,0.5679,0.64343,0.45894,1.0713,0.81193,1.08508,0.000853206,0.000853206,0.000853206
126,323.073,1.18643,1.00137,1.12209,0.81941,0.58284,0.64605,0.4499,1.10104,0.82957,1.08303,0.000852756,0.000852756,0.000852756
127,325.58,1.16329,0.94593,1.13911,0.86773,0.55452,0.64877,0.4647,1.06321,0.81562,1.08529,0.000852306,0.000852306,0.000852306
128,328.187,1.18221,0.95689,1.10526,0.86856,0.57373,0.65767,0.46207,1.08478,0.80376,1.08652,0.000851856,0.000851856,0.000851856
129,330.71,1.21027,0.94705,1.11784,0.83902,0.57206,0.64354,0.44521,1.14381,0.88832,1.11232,0.000851406,0.000851406,0.000851406
130,333.212,1.19305,0.90025,1.11087,0.87407,0.57456,0.65914,0.46561,1.06426,0.78657,1.07736,0.000850956,0.000850956,0.000850956
131,335.914,1.20904,0.94344,1.12722,0.82463,0.60042,0.67112,0.47261,1.05688,0.79783,1.07248,0.000850506,0.000850506,0.000850506
132,338.441,1.22599,0.94401,1.11903,0.82799,0.59927,0.66795,0.47413,1.07809,0.79906,1.06782,0.000850056,0.000850056,0.000850056
133,340.907,1.24557,0.93692,1.12391,0.83021,0.60198,0.67271,0.46816,1.09737,0.81066,1.07756,0.000849606,0.000849606,0.000849606
134,343.478,1.21148,0.92828,1.11503,0.87156,0.57552,0.66051,0.46574,1.07034,0.81533,1.0699,0.000849156,0.000849156,0.000849156
135,346.055,1.17554,0.91226,1.08965,0.88797,0.56754,0.66533,0.47883,1.05146,0.76798,1.06606,0.000848706,0.000848706,0.000848706
136,348.516,1.16718,0.9453,1.11618,0.86882,0.60743,0.68539,0.48434,1.04195,0.76478,1.06594,0.000848256,0.000848256,0.000848256
137,350.998,1.15988,0.91038,1.11508,0.87679,0.58928,0.66704,0.46839,1.06108,0.76844,1.06522,0.000847806,0.000847806,0.000847806
138,353.5,1.19825,0.92417,1.11383,0.87424,0.56583,0.66783,0.46735,1.06464,0.81247,1.06086,0.000847356,0.000847356,0.000847356
139,356.003,1.20329,0.92537,1.12475,0.8194,0.59722,0.66173,0.46672,1.06594,0.77485,1.07111,0.000846906,0.000846906,0.000846906
140,358.523,1.17752,0.88845,1.11296,0.8532,0.58382,0.65462,0.46523,1.06914,0.79057,1.06798,0.000846456,0.000846456,0.000846456
141,361.086,1.18404,0.89399,1.09913,0.81525,0.59703,0.66946,0.47585,1.02864,0.76504,1.05983,0.000846006,0.000846006,0.000846006
142,363.662,1.15321,0.86334,1.088,0.82629,0.60695,0.66223,0.46607,1.04039,0.78223,1.06243,0.000845556,0.000845556,0.000845556
143,366.168,1.1776,0.90554,1.09788,0.82599,0.60185,0.67329,0.47813,1.05248,0.81045,1.06123,0.000845106,0.000845106,0.000845106
144,368.681,1.17564,0.91067,1.11695,0.86759,0.57629,0.66604,0.47312,1.05873,0.81901,1.06264,0.000844656,0.000844656,0.000844656
