epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.57161,4.7787,6.81316,4.53673,0,0,0,0,4.98531,4.54034,4.16591,0.00014544,0.00014544,0.00014544
2,6.32815,4.52468,6.4767,4.23212,0,0,0,0,4.99762,4.54256,4.18435,0.000299376,0.000299376,0.000299376
3,8.96962,4.21235,5.97652,3.93216,2e-05,0.00045,1e-05,0,5.03442,4.55478,4.2333,0.0004527,0.0004527,0.0004527
4,11.5132,3.96856,5.48806,3.5893,2e-05,0.00045,1e-05,0,5.04718,4.56906,4.24943,0.000605412,0.000605412,0.000605412
5,14.0562,3.7666,4.96923,3.27675,2e-05,0.00045,1e-05,0,5.11615,4.60125,4.35142,0.000757513,0.000757513,0.000757513
6,16.5001,3.56152,4.70655,3.08859,3e-05,0.00089,5e-05,2e-05,4.77588,4.52476,4.00667,0.000900001,0.000900001,0.000900001
7,19.0858,3.40144,4.26896,2.85484,0.75565,0.00757,0.0067,0.00255,3.83583,3.93937,3.29412,0.000898201,0.000898201,0.000898201
8,21.6043,3.11371,3.92934,2.73048,0.60878,0.02328,0.0258,0.00807,3.13926,3.34555,2.90576,0.000896401,0.000896401,0.000896401
9,24.1286,3.06153,3.91222,2.63396,0.40502,0.0993,0.05933,0.02071,3.01586,2.81745,2.69328,0.000894601,0.000894601,0.000894601
10,26.648,2.84652,3.36916,2.3949,0.45208,0.13244,0.07482,0.02628,2.80837,2.69229,2.49507,0.000892802,0.000892802,0.000892802
11,29.1987,2.65944,3.20128,2.31428,0.48245,0.09945,0.09837,0.03813,2.67859,2.73843,2.47853,0.000891002,0.000891002,0.000891002
12,31.7787,2.58466,3.07706,2.15973,0.33777,0.16834,0.1043,0.0454,2.68638,2.70007,2.30898,0.000889202,0.000889202,0.000889202
13,34.3049,2.56929,3.07591,2.1687,0.48231,0.20491,0.14269,0.06994,2.39938,2.3661,2.18268,0.000887402,0.000887402,0.000887402
14,36.8786,2.43229,2.82793,2.13623,0.54233,0.20738,0.1751,0.08479,2.33698,2.39885,2.13498,0.000885602,0.000885602,0.000885602
15,39.4045,2.33043,2.64166,2.05338,0.56164,0.23013,0.1938,0.10084,2.27019,2.16976,2.03019,0.000883803,0.000883803,0.000883803
16,41.9144,2.31375,2.56317,2.0164,0.52317,0.27239,0.20591,0.11496,2.13669,2.02888,1.94441,0.000882003,0.000882003,0.000882003
17,44.4481,2.17999,2.39845,1.84963,0.4223,0.21757,0.20271,0.09705,2.24098,2.27546,2.03815,0.000880203,0.000880203,0.000880203
18,47.0797,2.18809,2.42384,1.89175,0.55082,0.2546,0.22671,0.12691,2.04894,1.91961,1.88577,0.000878403,0.000878403,0.000878403
19,49.6165,2.1517,2.42603,1.91571,0.43055,0.26779,0.24327,0.13601,1.99759,1.91903,1.87779,0.000876603,0.000876603,0.000876603
20,52.1393,2.0516,2.19198,1.77178,0.43279,0.29532,0.23798,0.12013,2.09257,2.2772,1.84138,0.000874803,0.000874803,0.000874803
21,54.6659,2.06269,2.27291,1.79207,0.48248,0.28403,0.2556,0.14699,1.84546,2.12714,1.72089,0.000873004,0.000873004,0.000873004
22,57.2504,1.97437,2.15986,1.71576,0.46536,0.30115,0.26915,0.14775,1.91976,1.82915,1.76899,0.000871204,0.000871204,0.000871204
